Attr_prob_0,Attr_prob_10,Attr_prob_20,Attr_prob_30,Attr_prob_40,Attr_prob_50,Attr_prob_60,Attr_prob_70,Attr_prob_80,Attr_prob_90,Attr_prob_100,Strike_prob_0,Strike_prob_10,Strike_prob_20,Strike_prob_30,Strike_prob_40,Strike_prob_50,Strike_prob_60,Strike_prob_70,Strike_prob_80,Strike_prob_90,Strike_prob_100,E2-C2_prob_0,E2-C2_prob_10,E2-C2_prob_20,E2-C2_prob_30,E2-C2_prob_40,E2-C2_prob_50,E2-C2_prob_60,E2-C2_prob_70,E2-C2_prob_80,E2-C2_prob_90,E2-C2_prob_100,Heli_prob_0,Heli_prob_10,Heli_prob_20,Heli_prob_30,Heli_prob_40,Heli_prob_50,Heli_prob_60,Heli_prob_70,Heli_prob_80,Heli_prob_90,Heli_prob_100,Heli_prob_100
29,34,31,30,26,29,40,44,48,54,48,53,50,52,53,48,35,39,38,32,32,38,72,63,52,53,49,44,44,48,54,46,52,57,62,50,55,57,62,58,45,50,42,37,37
70,69,69,56,41,30,23,26,25,23,26,18,26,22,25,40,38,46,40,48,50,62,31,25,36,49,54,62,58,66,76,73,77,16,17,23,25,31,45,42,53,52,48,61,61
39,32,35,41,36,45,42,40,32,41,41,57,53,49,44,52,57,49,42,46,50,54,64,64,70,71,78,80,85,77,66,59,60,59,65,62,57,64,67,75,67,72,64,58,58
57,49,56,48,41,35,41,31,22,18,10,28,42,49,56,58,57,59,67,77,79,84,44,36,46,54,64,73,66,77,87,92,91,41,40,41,50,49,53,52,56,62,72,79,79
15,23,31,25,22,22,11,9,16,20,24,76,78,80,73,82,80,78,82,80,70,63,90,84,92,85,91,82,83,72,70,72,78,84,84,81,88,79,73,74,63,69,73,64,64
11,12,13,24,35,37,34,41,41,52,62,75,59,62,52,46,31,34,30,26,23,23,95,87,90,88,85,70,60,64,49,45,39,86,88,88,86,77,64,51,38,33,33,37,37
15,18,23,26,30,30,21,20,25,32,28,67,70,69,73,66,71,66,70,64,68,63,88,86,90,91,92,85,77,69,72,71,73,81,79,83,77,71,75,78,75,77,81,67,67
20,30,31,25,19,11,7,7,8,7,13,66,74,70,70,65,79,75,74,78,76,85,81,86,78,87,81,88,94,93,89,92,90,74,66,63,59,64,63,67,69,68,74,85,85
53,46,42,40,30,23,25,9,5,8,7,41,36,35,41,48,56,52,59,65,74,80,50,58,63,60,57,63,64,66,75,83,94,35,32,31,40,50,57,71,67,80,82,87,87
29,34,30,26,33,28,35,32,29,29,34,60,54,46,38,35,40,34,32,39,47,49,72,64,70,59,67,56,61,53,61,64,69,55,62,64,69,77,80,84,79,75,70,62,62
27,26,30,34,25,24,21,21,16,21,11,70,69,66,59,55,66,59,66,66,64,73,74,70,69,65,68,69,78,81,91,85,92,67,73,74,69,75,84,87,86,83,82,77,77
26,39,33,43,47,53,61,68,67,63,62,61,58,58,51,52,47,45,48,36,37,27,75,73,79,71,71,78,74,64,53,48,42,72,57,56,47,48,37,29,33,35,37,35,35
32,36,30,23,20,24,22,15,12,13,23,62,63,72,74,70,79,81,83,83,79,70,70,77,88,84,82,78,70,71,69,68,79,62,68,66,74,72,80,83,89,81,73,68,68
11,14,6,14,23,24,18,17,17,16,13,82,87,77,74,83,85,86,82,77,83,79,91,94,92,83,82,79,81,84,85,83,88,87,83,86,82,89,94,92,91,89,88,79,79
11,10,15,23,22,29,31,41,36,47,48,78,74,66,65,65,65,62,56,49,39,38,90,82,88,85,78,70,61,50,51,47,53,82,71,75,67,70,63,52,42,44,42,47,47
7,7,5,11,7,10,13,6,6,14,6,87,86,93,89,93,91,93,94,86,77,77,92,87,92,88,89,82,90,92,90,92,95,84,88,84,80,74,84,77,72,79,88,86,86
21,23,19,15,9,5,15,11,6,6,12,72,77,81,81,85,74,62,66,74,78,68,80,72,75,77,85,76,72,78,79,85,93,78,71,72,68,63,59,60,70,73,81,79,79
31,23,22,27,26,20,17,13,15,15,14,57,51,61,57,68,62,58,66,72,68,68,74,75,82,83,87,84,90,88,94,81,88,68,76,79,79,83,77,85,93,88,88,80,80
7,11,12,7,8,10,5,9,16,13,9,86,88,81,81,80,80,84,92,90,82,72,91,92,85,87,91,87,83,88,85,90,92,90,81,85,80,79,81,76,76,77,85,81,81
20,28,22,21,19,16,25,32,30,24,22,70,62,70,79,74,75,77,79,84,77,70,83,80,78,69,73,79,87,86,91,89,81,76,71,70,82,77,85,81,84,78,82,76,76
17,25,34,27,35,29,30,24,19,19,13,71,71,69,73,70,73,81,72,73,79,68,84,92,85,94,87,85,88,81,87,93,91,76,71,77,73,66,67,68,74,73,76,86,86
23,15,16,20,8,12,15,5,10,5,6,72,81,79,79,78,71,70,75,81,78,77,80,72,68,80,84,80,87,86,91,87,95,65,63,64,64,59,53,62,69,67,77,83,83
28,37,34,38,51,54,53,54,55,50,47,63,56,63,55,56,62,61,49,43,40,42,74,72,72,69,70,74,77,80,69,60,56,64,63,49,53,53,47,45,48,39,33,37,37
10,7,8,10,9,7,5,14,18,24,15,85,81,73,79,71,60,66,65,67,70,76,91,89,91,93,92,94,91,82,87,82,85,89,82,79,76,74,75,81,71,70,70,72,72
21,17,25,22,29,26,21,21,18,25,20,71,68,63,66,64,64,65,60,71,67,61,80,75,80,78,84,78,77,84,84,77,81,78,78,72,67,71,76,70,69,68,73,76,76
34,34,25,16,20,20,14,12,11,13,19,46,43,40,40,37,42,48,61,68,64,75,69,69,79,78,82,94,92,87,80,83,85,60,52,44,47,55,63,72,80,78,78,78,78
6,16,17,29,24,22,31,34,38,37,34,93,94,91,87,86,79,79,79,69,55,53,89,92,93,92,87,85,82,71,66,60,66,84,91,93,83,74,79,79,72,70,59,58,58
33,34,40,46,41,45,54,55,60,55,50,58,53,50,53,46,38,41,37,44,49,41,68,67,68,58,65,72,67,60,50,54,50,62,63,56,57,56,59,59,53,41,41,45,45
10,8,12,15,15,11,12,26,30,25,20,72,76,76,71,76,80,81,83,78,74,67,91,86,90,88,90,90,94,91,88,86,80,79,70,64,71,67,59,64,65,66,64,72,72
35,37,36,41,37,41,29,28,17,15,8,59,64,57,51,46,49,58,65,64,70,74,68,60,68,73,81,83,87,84,86,89,93,61,60,74,74,87,86,85,85,87,87,90,90
13,18,27,28,27,40,47,57,63,72,67,74,62,63,63,45,42,33,26,22,15,15,88,86,78,65,60,61,58,43,35,37,37,79,73,70,76,64,66,57,50,51,41,30,30
36,38,32,26,18,16,9,11,10,8,16,50,47,54,56,64,60,61,64,74,81,77,66,70,69,74,80,78,78,78,76,88,85,59,57,57,52,52,55,67,78,82,75,81,81
39,40,45,35,39,43,34,24,30,21,24,41,45,47,50,58,62,57,63,66,61,65,62,56,66,75,84,80,77,75,77,80,78,58,54,57,57,64,75,83,76,69,72,70,70
7,20,23,28,31,35,35,32,34,37,42,82,76,74,78,69,73,64,55,47,40,46,94,81,79,75,66,70,70,56,60,60,58,87,79,78,78,74,64,63,56,51,54,53,53
14,6,12,9,14,11,7,9,13,10,8,74,77,87,86,80,77,82,83,76,77,73,87,85,88,82,90,84,82,93,87,93,91,76,78,79,79,73,63,73,77,70,78,75,75
