Attr_prob_0,Attr_prob_10,Attr_prob_20,Attr_prob_30,Attr_prob_40,Attr_prob_50,Attr_prob_60,Attr_prob_70,Attr_prob_80,Attr_prob_90,Attr_prob_100,Strike_prob_0,Strike_prob_10,Strike_prob_20,Strike_prob_30,Strike_prob_40,Strike_prob_50,Strike_prob_60,Strike_prob_70,Strike_prob_80,Strike_prob_90,Strike_prob_100,E2-C2_prob_0,E2-C2_prob_10,E2-C2_prob_20,E2-C2_prob_30,E2-C2_prob_40,E2-C2_prob_50,E2-C2_prob_60,E2-C2_prob_70,E2-C2_prob_80,E2-C2_prob_90,E2-C2_prob_100,Heli_prob_0,Heli_prob_10,Heli_prob_20,Heli_prob_30,Heli_prob_40,Heli_prob_50,Heli_prob_60,Heli_prob_70,Heli_prob_80,Heli_prob_90,Heli_prob_100
20,30,31,25,19,11,7,7,8,7,13,66,74,70,70,65,79,75,74,78,76,85,81,86,78,87,81,88,94,93,89,92,90,74,66,63,59,64,63,67,69,68,74,85
53,46,42,40,30,23,25,9,5,8,7,41,36,35,41,48,56,52,59,65,74,80,50,58,63,60,57,63,64,66,75,83,94,35,32,31,40,50,57,71,67,80,82,87
29,34,30,26,33,28,35,32,29,29,34,60,54,46,38,35,40,34,32,39,47,49,72,64,70,59,67,56,61,53,61,64,69,55,62,64,69,77,80,84,79,75,70,62
27,26,30,34,25,24,21,21,16,21,11,70,69,66,59,55,66,59,66,66,64,73,74,70,69,65,68,69,78,81,91,85,92,67,73,74,69,75,84,87,86,83,82,77
26,39,33,43,47,53,61,68,67,63,62,61,58,58,51,52,47,45,48,36,37,27,75,73,79,71,71,78,74,64,53,48,42,72,57,56,47,48,37,29,33,35,37,35
32,36,30,23,20,24,22,15,12,13,23,62,63,72,74,70,79,81,83,83,79,70,70,77,88,84,82,78,70,71,69,68,79,62,68,66,74,72,80,83,89,81,73,68
11,14,6,14,23,24,18,17,17,16,13,82,87,77,74,83,85,86,82,77,83,79,91,94,92,83,82,79,81,84,85,83,88,87,83,86,82,89,94,92,91,89,88,79
11,10,15,23,22,29,31,41,36,47,48,78,74,66,65,65,65,62,56,49,39,38,90,82,88,85,78,70,61,50,51,47,53,82,71,75,67,70,63,52,42,44,42,47
7,7,5,11,7,10,13,6,6,14,6,87,86,93,89,93,91,93,94,86,77,77,92,87,92,88,89,82,90,92,90,92,95,84,88,84,80,74,84,77,72,79,88,86
21,23,19,15,9,5,15,11,6,6,12,72,77,81,81,85,74,62,66,74,78,68,80,72,75,77,85,76,72,78,79,85,93,78,71,72,68,63,59,60,70,73,81,79
31,23,22,27,26,20,17,13,15,15,14,57,51,61,57,68,62,58,66,72,68,68,74,75,82,83,87,84,90,88,94,81,88,68,76,79,79,83,77,85,93,88,88,80
7,11,12,7,8,10,5,9,16,13,9,86,88,81,81,80,80,84,92,90,82,72,91,92,85,87,91,87,83,88,85,90,92,90,81,85,80,79,81,76,76,77,85,81
20,28,22,21,19,16,25,32,30,24,22,70,62,70,79,74,75,77,79,84,77,70,83,80,78,69,73,79,87,86,91,89,81,76,71,70,82,77,85,81,84,78,82,76
17,25,34,27,35,29,30,24,19,19,13,71,71,69,73,70,73,81,72,73,79,68,84,92,85,94,87,85,88,81,87,93,91,76,71,77,73,66,67,68,74,73,76,86
23,15,16,20,8,12,15,5,10,5,6,72,81,79,79,78,71,70,75,81,78,77,80,72,68,80,84,80,87,86,91,87,95,65,63,64,64,59,53,62,69,67,77,83
28,37,34,38,51,54,53,54,55,50,47,63,56,63,55,56,62,61,49,43,40,42,74,72,72,69,70,74,77,80,69,60,56,64,63,49,53,53,47,45,48,39,33,37
10,7,8,10,9,7,5,14,18,24,15,85,81,73,79,71,60,66,65,67,70,76,91,89,91,93,92,94,91,82,87,82,85,89,82,79,76,74,75,81,71,70,70,72
21,17,25,22,29,26,21,21,18,25,20,71,68,63,66,64,64,65,60,71,67,61,80,75,80,78,84,78,77,84,84,77,81,78,78,72,67,71,76,70,69,68,73,76
34,34,25,16,20,20,14,12,11,13,19,46,43,40,40,37,42,48,61,68,64,75,69,69,79,78,82,94,92,87,80,83,85,60,52,44,47,55,63,72,80,78,78,78
6,16,17,29,24,22,31,34,38,37,34,93,94,91,87,86,79,79,79,69,55,53,89,92,93,92,87,85,82,71,66,60,66,84,91,93,83,74,79,79,72,70,59,58
33,34,40,46,41,45,54,55,60,55,50,58,53,50,53,46,38,41,37,44,49,41,68,67,68,58,65,72,67,60,50,54,50,62,63,56,57,56,59,59,53,41,41,45
10,8,12,15,15,11,12,26,30,25,20,72,76,76,71,76,80,81,83,78,74,67,91,86,90,88,90,90,94,91,88,86,80,79,70,64,71,67,59,64,65,66,64,72
35,37,36,41,37,41,29,28,17,15,8,59,64,57,51,46,49,58,65,64,70,74,68,60,68,73,81,83,87,84,86,89,93,61,60,74,74,87,86,85,85,87,87,90
13,18,27,28,27,40,47,57,63,72,67,74,62,63,63,45,42,33,26,22,15,15,88,86,78,65,60,61,58,43,35,37,37,79,73,70,76,64,66,57,50,51,41,30
36,38,32,26,18,16,9,11,10,8,16,50,47,54,56,64,60,61,64,74,81,77,66,70,69,74,80,78,78,78,76,88,85,59,57,57,52,52,55,67,78,82,75,81
39,40,45,35,39,43,34,24,30,21,24,41,45,47,50,58,62,57,63,66,61,65,62,56,66,75,84,80,77,75,77,80,78,58,54,57,57,64,75,83,76,69,72,70
7,20,23,28,31,35,35,32,34,37,42,82,76,74,78,69,73,64,55,47,40,46,94,81,79,75,66,70,70,56,60,60,58,87,79,78,78,74,64,63,56,51,54,53
14,6,12,9,14,11,7,9,13,10,8,74,77,87,86,80,77,82,83,76,77,73,87,85,88,82,90,84,82,93,87,93,91,76,78,79,79,73,63,73,77,70,78,75
31,28,36,34,23,29,31,23,27,28,37,68,63,52,55,49,44,47,46,51,54,51,71,62,60,58,67,67,65,65,71,68,67,56,64,59,61,55,55,55,55,60,55,63
31,24,28,37,31,41,46,40,34,41,41,57,56,60,53,54,51,53,44,48,47,47,71,79,76,74,83,79,86,87,77,69,60,57,58,61,58,54,57,56,54,46,44,52
8,10,21,16,16,22,21,25,24,16,25,82,74,77,70,71,67,58,53,52,62,62,93,85,89,78,72,74,76,81,86,86,76,81,73,76,81,79,72,71,67,69,61,66
22,16,15,7,11,10,5,9,5,10,9,67,64,73,82,87,80,78,80,74,75,85,79,76,76,74,82,81,76,88,94,87,94,67,61,71,82,78,75,79,76,78,90,90
25,17,19,21,15,8,7,7,17,21,27,59,56,60,55,60,58,66,66,64,52,55,78,75,79,76,80,73,76,68,63,73,77,64,64,60,66,72,64,64,59,62,55,61
8,9,8,13,6,9,5,12,10,5,8,74,71,64,71,74,80,82,82,79,83,81,92,85,84,90,94,89,91,94,86,86,94,78,70,70,70,70,73,79,79,76,76,85
7,10,19,14,17,21,33,33,34,47,50,79,79,81,69,68,61,66,61,50,49,38,95,83,89,84,84,79,79,76,67,63,54,92,93,83,79,70,68,59,62,57,49,42
10,10,18,17,13,24,22,27,36,40,55,81,66,54,56,46,40,42,31,30,32,25,92,85,70,73,77,62,49,45,49,43,48,82,75,70,58,59,59,60,58,50,37,38
68,60,50,44,38,33,39,29,34,27,32,23,23,24,17,22,31,39,38,37,44,49,34,30,40,49,47,46,44,58,56,55,69,31,34,45,47,58,59,56,55,56,54,62
19,18,24,26,27,30,23,27,25,31,23,75,68,71,78,72,64,57,54,63,66,74,83,88,93,93,86,77,74,80,75,73,77,75,65,61,65,56,66,73,76,73,64,67
23,30,38,34,35,34,43,45,39,32,34,69,65,64,59,56,59,64,70,64,58,55,81,77,83,83,85,89,83,80,83,70,69,70,76,68,62,70,77,66,55,62,62,63
20,13,9,5,9,5,5,7,5,16,15,65,69,75,81,81,79,73,66,60,58,68,81,73,72,73,76,85,83,80,78,81,88,79,83,79,73,68,78,79,73,68,73,82
44,30,32,36,25,27,31,25,12,5,10,36,46,46,42,51,48,48,52,60,69,79,56,54,60,57,59,58,69,79,87,90,93,48,50,53,53,58,59,65,77,75,78,83
41,47,48,55,47,36,37,32,22,11,19,52,45,53,63,73,79,75,68,64,68,65,61,70,64,59,71,69,80,80,84,90,84,49,46,42,48,47,55,55,59,61,71,79
23,30,29,33,26,19,29,24,15,24,23,70,68,74,68,71,60,66,57,66,65,63,78,81,75,81,75,73,75,87,80,73,79,72,73,72,81,80,73,69,65,67,68,73
17,25,27,31,37,38,51,53,62,67,62,80,70,60,56,50,43,45,45,33,21,18,88,79,81,69,69,68,68,62,50,39,40,71,64,63,63,59,58,51,49,47,42,31
6,9,17,19,20,14,25,31,33,38,33,77,66,71,64,68,66,53,56,59,59,53,92,88,90,92,88,94,93,86,81,77,69,88,80,85,76,80,75,75,70,60,68,63
32,39,30,23,26,27,18,9,5,8,12,56,59,62,55,61,72,81,82,88,82,77,73,70,70,72,77,82,94,90,89,86,88,62,70,68,73,75,69,68,65,65,69,81
14,24,25,36,34,35,40,35,35,31,33,67,64,60,54,52,43,41,46,55,56,57,86,75,74,72,78,71,79,78,76,75,68,78,78,77,78,86,84,91,87,80,75,66
7,8,5,13,19,14,19,14,19,20,21,78,77,72,63,63,71,78,73,69,67,61,95,94,91,94,93,93,85,86,81,79,80,91,87,81,74,77,73,78,75,67,72,74
20,17,24,30,38,40,41,34,31,36,34,72,60,63,53,55,55,48,52,50,44,48,81,82,83,74,75,64,62,61,67,58,66,74,77,75,86,77,68,66,70,61,60,57
16,18,24,22,30,36,28,19,24,15,15,66,62,68,79,82,80,76,69,73,72,70,85,87,93,90,93,90,87,86,90,86,90,82,82,76,82,87,91,88,88,86,76,82
30,38,40,42,38,35,31,38,39,36,36,53,52,59,53,53,46,41,35,37,47,49,71,69,69,61,67,69,72,69,63,58,65,67,60,56,51,52,45,53,49,55,53,54
32,31,28,29,25,18,29,34,37,48,59,59,59,60,47,52,52,48,47,42,45,33,71,63,55,48,40,41,48,47,41,46,44,54,55,47,35,40,34,37,39,35,31,32
6,9,6,7,10,13,8,11,21,22,19,80,71,71,74,81,84,88,82,79,72,63,91,90,93,92,91,88,76,79,77,81,86,93,90,85,93,86,86,87,79,85,85,78
24,34,36,34,36,35,41,48,56,65,62,60,58,65,62,62,62,54,50,45,35,27,77,77,79,67,59,64,51,52,46,51,39,72,71,68,69,56,56,51,51,36,36,26
26,17,16,16,19,26,29,24,29,33,30,61,65,72,63,68,76,75,68,57,57,57,74,71,68,77,72,75,70,71,65,70,74,68,68,61,56,62,61,69,73,67,65,63
28,19,15,7,5,11,15,11,11,21,17,66,67,60,62,59,56,66,63,60,70,74,74,74,70,76,72,76,73,72,81,80,87,71,65,56,58,66,75,84,77,86,76,83
5,8,11,21,18,18,27,19,23,18,24,91,90,94,88,82,77,84,88,81,74,67,93,90,92,89,86,89,92,83,73,72,78,82,72,70,73,66,73,80,75,76,76,75
28,37,36,35,33,41,46,46,56,64,59,55,47,41,34,36,32,23,19,24,27,32,76,77,74,74,63,62,55,44,47,44,43,57,50,57,55,53,52,44,46,43,44,37
20,16,6,9,5,5,10,15,22,16,22,64,68,68,74,74,77,73,72,75,69,75,80,83,78,70,79,87,91,84,92,90,81,72,69,70,63,56,49,51,59,60,65,64
35,32,41,38,29,26,30,24,17,17,26,53,45,49,54,53,53,48,51,50,52,59,69,68,68,78,73,70,68,75,76,73,76,50,55,58,58,58,59,56,61,68,71,69
22,16,25,17,22,27,29,27,31,28,28,61,70,71,66,77,68,70,64,57,60,61,83,86,91,84,82,84,72,71,74,70,73,75,77,65,61,68,74,72,69,71,74,65
33,34,27,23,28,28,25,34,26,17,13,49,49,55,61,67,67,66,61,55,59,69,70,73,69,77,76,71,83,80,81,89,90,59,57,61,60,70,73,69,71,69,76,79
12,14,17,23,11,13,13,19,18,10,8,87,91,88,93,94,84,77,77,77,79,74,88,86,88,90,94,86,86,91,93,90,93,86,90,86,88,90,90,91,85,93,84,90
7,7,10,18,18,24,15,17,23,17,17,83,77,84,78,78,69,75,69,61,71,64,92,92,89,89,94,87,90,94,94,85,87,92,86,86,80,79,77,81,81,80,82,79
17,17,7,8,5,11,10,6,6,7,7,63,72,68,68,69,67,79,81,82,77,74,87,85,93,91,94,83,74,76,84,89,95,77,72,73,73,79,90,93,90,83,91,86
10,19,27,30,29,25,17,13,19,14,12,78,85,91,92,88,94,92,87,92,90,84,91,92,87,93,83,93,90,82,87,81,90,81,77,76,77,83,76,70,72,70,74,81
46,38,36,40,40,32,42,36,28,31,37,39,47,42,40,36,39,42,37,45,41,44,56,53,61,62,58,62,68,63,58,70,67,40,49,45,52,54,50,55,49,50,57,53
41,41,40,43,47,49,50,44,49,48,38,52,60,63,55,49,43,40,38,41,45,42,60,51,60,54,53,52,58,67,71,64,64,54,49,49,58,56,63,64,56,48,44,51
49,55,63,60,66,73,66,58,53,57,55,39,29,33,25,30,35,36,28,37,39,39,51,52,53,46,39,36,42,45,43,36,48,47,42,43,52,56,56,54,43,50,45,38
29,21,28,33,27,33,30,34,30,34,31,58,54,56,49,46,42,42,37,36,44,51,74,63,70,71,64,68,69,65,65,61,69,70,77,76,73,70,74,71,69,62,70,67
54,43,48,36,26,27,31,18,19,18,24,41,45,43,38,43,39,40,42,44,54,60,50,50,59,64,70,67,77,69,69,77,79,42,51,56,57,54,49,50,55,66,64,62
26,20,23,28,24,29,22,26,33,22,26,63,64,59,55,64,69,68,74,69,75,68,75,68,72,77,75,78,81,70,75,74,76,65,66,65,71,78,80,74,67,73,70,59
24,16,10,20,23,13,20,16,12,12,7,63,66,62,66,76,85,82,73,75,79,74,83,86,81,84,90,86,83,91,93,90,94,71,80,90,81,91,91,83,78,70,74,78
13,8,5,7,8,13,6,6,8,12,19,77,77,86,90,86,86,88,84,77,73,65,89,94,89,94,94,88,91,93,88,88,82,82,75,78,86,82,79,81,75,83,75,79
17,12,20,24,35,33,32,23,24,29,28,73,78,72,69,61,67,59,51,57,63,58,84,88,86,74,70,74,72,73,78,81,73,77,66,66,70,70,77,73,67,72,68,67
12,16,18,27,33,31,28,20,13,16,14,76,73,68,65,72,78,69,74,75,74,79,90,94,86,84,82,79,84,72,76,80,86,77,70,75,79,77,71,67,75,78,79,81
23,27,19,12,8,5,10,19,14,21,25,58,65,72,76,69,71,68,72,79,69,71,81,72,76,82,72,73,70,77,73,75,75,72,78,86,80,74,76,72,68,66,71,70
33,24,17,9,8,9,5,6,11,5,14,53,58,69,73,82,78,75,76,77,79,76,68,69,63,71,71,82,88,80,84,81,87,66,66,69,72,68,67,73,69,65,67,76
25,33,31,24,25,31,38,30,28,35,43,71,61,66,70,63,54,49,54,46,41,42,76,84,74,73,77,79,81,71,62,61,60,69,66,72,66,62,66,64,66,57,48,47
